rf_code;rf_type;rf_fabric;rf_design;rf_etat;rf_comment;rf_creadat;rf_majdate;rf_majsrc;rf_abddate;rf_abdsrc
RF033000000036;CA;OR033002100003;ACOPTIC-UND1558;A;;2018-06-25 00:00:00;;axione;;
RF033000000038;CA;OR033002100003;PACe;A;;2018-06-25 00:00:00;;axione;;
RF033000000039;CA;OR033002100003;N9866A;A;;2018-06-25 00:00:00;;axione;;
RF033000000040;CA;OR033002100015;EE860F100001200N;A;;2018-06-25 00:00:00;;axione;;
RF033000000041;CA;OR033002100015;EE860F100002400N;A;;2018-06-25 00:00:00;;axione;;
RF033000000042;CA;OR033002100015;EE860F100003600N;A;;2018-06-25 00:00:00;;axione;;
RF033000000043;CA;OR033002100015;EE860F100004800N;A;;2018-06-25 00:00:00;;axione;;
RF033000000044;CA;OR033002100015;EE860F100007200N;A;;2018-06-25 00:00:00;;axione;;
RF033000000045;CA;OR033002100015;EE860F100009600N;A;;2018-06-25 00:00:00;;axione;;
RF033000000046;CA;OR033002100015;EE860F100012000N;A;;2018-06-25 00:00:00;;axione;;
RF033000000047;CA;OR033002100015;EE860F100012000N;A;;2018-06-25 00:00:00;;axione;;
RF033000000048;CA;OR033002100015;EE860F100019200N;A;;2018-06-25 00:00:00;;axione;;
RF033000000049;CA;OR033002100015;EE860F100021600N;A;;2018-06-25 00:00:00;;axione;;
RF033000000050;CA;OR033002100015;EE860F100021600N;A;;2018-06-25 00:00:00;;axione;;
RF033000000051;CA;OR033002100016;GIGAMEDIA;A;;2018-06-25 00:00:00;;axione;;
RF033000000052;CA;OR033002100017;CT-C-17129E-A1NNHY288-R0;A;;2018-06-25 00:00:00;;axione;;
RF033000000053;CA;OR033002100017;CT-C-17129E-A1NNHY288-R0;A;;2018-06-25 00:00:00;;axione;;
RF033000000054;CA;OR033002100017;CT-C-17129E-A6NNHY288-R0;A;;2018-06-25 00:00:00;;axione;;
RF033000000158;CA;OR033002100014;79001;A;;2018-06-25 00:00:00;;axione;;
RF033000000159;CA;OR033002100014;79001;A;;2018-06-25 00:00:00;;axione;;
RF033000000160;CA;OR033002100014;79003;A;;2018-06-25 00:00:00;;axione;;
RF033000000161;CA;OR033002100014;79003;A;;2018-06-25 00:00:00;;axione;;
RF033000000162;CA;OR033002100014;79006;A;;2018-06-25 00:00:00;;axione;;
RF033000000163;CA;OR033002100014;79006;A;;2018-06-25 00:00:00;;axione;;
RF033000000164;CA;OR033002100014;79009;A;;2018-06-25 00:00:00;;axione;;
RF033000000165;CA;OR033002100014;79009;A;;2018-06-25 00:00:00;;axione;;
RF033000000166;CA;OR033002100014;79012;A;;2018-06-25 00:00:00;;axione;;
RF033000000167;CA;OR033002100014;79012;A;;2018-06-25 00:00:00;;axione;;
RF033000000168;CA;OR033002100014;79014;A;;2018-06-25 00:00:00;;axione;;
RF033000000169;CA;OR033002100014;79014;A;;2018-06-25 00:00:00;;axione;;
RF033000000170;CA;OR033002100014;79015;A;;2018-06-25 00:00:00;;axione;;
RF033000000171;CA;OR033002100014;79016;A;;2018-06-25 00:00:00;;axione;;
RF033000000172;CA;OR033002100014;79016;A;;2018-06-25 00:00:00;;axione;;
RF033000000173;CA;OR033002100014;79017;A;;2018-06-25 00:00:00;;axione;;
RF033000000174;CA;OR033002100014;79017;A;;2018-06-25 00:00:00;;axione;;
RF033000000175;CA;OR033002100014;79021;A;;2018-06-25 00:00:00;;axione;;
RF033000000176;CA;OR033002100014;79021;A;;2018-06-25 00:00:00;;axione;;
RF033000000177;CA;OR033002100014;79022;A;;2018-06-25 00:00:00;;axione;;
RF033000000178;CA;OR033002100014;79013;A;;2018-06-25 00:00:00;;axione;;
RF033000000179;CA;OR033002100014;79899;A;;2018-06-25 00:00:00;;axione;;
RF033000000180;CA;OR033002100014;79007;A;;2018-06-25 00:00:00;;axione;;
RF033000000181;CA;OR033002100014;79010;A;;2018-06-25 00:00:00;;axione;;
RF033000000182;CA;OR033002100014;79031;A;;2018-06-25 00:00:00;;axione;;
RF033000000183;CA;OR033002100014;79033;A;;2018-06-25 00:00:00;;axione;;
RF033000000184;CA;OR033002100014;79034;A;;2018-06-25 00:00:00;;axione;;
RF033000000185;CA;OR033002100014;79036;A;;2018-06-25 00:00:00;;axione;;
RF033000000186;CA;OR033002100014;79037;A;;2018-06-25 00:00:00;;axione;;
RF033000000187;CA;OR033002100014;79039;A;;2018-06-25 00:00:00;;axione;;
RF033000000188;CA;OR033002100014;79040;A;;2018-06-25 00:00:00;;axione;;
RF033000000189;CA;OR033002100014;79042;A;;2018-06-25 00:00:00;;axione;;
RF033000000190;CA;OR033002100014;79043;A;;2018-06-25 00:00:00;;axione;;
RF033000000191;CA;OR033002100014;79044;A;;2018-06-25 00:00:00;;axione;;
RF033000000192;CA;OR033002100014;79045;A;;2018-06-25 00:00:00;;axione;;
RF033000000193;CA;OR033002100014;79046;A;;2018-06-25 00:00:00;;axione;;
RF033000000194;CA;OR033002100014;79047;A;;2018-06-25 00:00:00;;axione;;
RF033000000195;CA;OR033002100014;79048;A;;2018-06-25 00:00:00;;axione;;
RF033000000196;CA;OR033002100014;79049;A;;2018-06-25 00:00:00;;axione;;
RF033000000197;CA;OR033002100014;79050;A;;2018-06-25 00:00:00;;axione;;
RF033000000198;CA;OR033002100014;79051;A;;2018-06-25 00:00:00;;axione;;
RF033000000199;CA;OR033002100014;79052;A;;2018-06-25 00:00:00;;axione;;
RF033000000200;BP;OR033002100001;BPEO - T0;A;;2018-06-25 00:00:00;;axione;;
RF033000000201;BP;OR033002100001;BPEO - T1;A;;2018-06-25 00:00:00;;axione;;
RF033000000202;BP;OR033002100001;PBO NG;A;;2018-06-25 00:00:00;;axione;;
RF033000000203;BP;OR033002100001;BPEO - T2;A;;2018-06-25 00:00:00;;axione;;
RF033000000204;BP;OR033002100001;BPEO - T3;A;;2018-06-25 00:00:00;;axione;;
RF033000000205;BP;OR033002100001;PBO Taille 2;A;;2018-06-25 00:00:00;;axione;;
RF033000000206;BP;OR033002100001;FDC 12S;A;;2018-06-25 00:00:00;;axione;;
